index,imf_0,imf_1,imf_2,imf_3,imf_4,imf_5,residue
177,0.77875290,-0.00954539,-0.12377677,-1.43349823,-4.35546852,-2.03642437,103.52741164
178,-0.96169741,0.12950077,0.02932824,-1.42778502,-4.36985704,-2.04985902,103.52750620
179,1.00940665,0.35384013,0.14116733,-1.40998353,-4.38118796,-2.06300358,103.52760126
180,-0.41337329,0.47616640,0.19559367,-1.38009936,-4.38944269,-2.07585366,103.52769681
181,-0.09218933,0.46516990,0.18338899,-1.33824470,-4.39462097,-2.08840485,103.52779284
182,0.17893218,0.34983884,0.10675860,-1.28469802,-4.39674043,-2.10065281,103.52788937
183,0.14207476,0.14719481,-0.01979926,-1.21990010,-4.39583418,-2.11259336,103.52798639
184,0.00024571,-0.08754043,-0.17517322,-1.14443722,-4.39194143,-2.12422275,103.52808390
185,-0.27256239,-0.25552374,-0.33524505,-1.05898036,-4.38510329,-2.13553778,103.52818191
186,0.00773602,-0.32289917,-0.47511270,-0.96419701,-4.37536069,-2.14653584,103.52828041
187,0.39956452,-0.37586216,-0.57281064,-0.86079501,-4.36275351,-2.15721535,103.52837940
188,0.10524310,-0.47796457,-0.61206878,-0.74962479,-4.34732053,-2.16757586,103.52847889
189,-0.48389804,-0.53595105,-0.58616567,-0.63168997,-4.32909961,-2.17761781,103.52857888
190,0.03807184,-0.44402446,-0.49877405,-0.50815226,-4.30812824,-2.18734202,103.52867936
191,0.27474387,-0.22622803,-0.36236641,-0.38028548,-4.28444349,-2.19674974,103.52878034
192,-0.03360588,0.02558511,-0.19490341,-0.24940684,-4.25808205,-2.20584258,103.52888182
193,0.06949942,0.24194563,-0.01660436,-0.11683956,-4.22908052,-2.21462228,103.52898380
194,0.03547754,0.42181014,0.15184074,0.01608823,-4.19747540,-2.22309062,103.52908627
195,-0.21381968,0.61789610,0.29165401,0.14803118,-4.16330321,-2.23124942,103.52918925
196,-0.10372969,0.83605140,0.38911634,0.27765114,-4.12660043,-2.23910049,103.52929273
197,0.26674867,0.93555497,0.43619763,0.40361990,-4.08740354,-2.24664568,103.52939670
198,0.51497560,0.75202125,0.43267104,0.52460586,-4.04574898,-2.25388685,103.52950118
199,-0.06986881,0.30414967,0.38811093,0.63930152,-4.00167321,-2.26082586,103.52960616
200,-0.45064273,-0.18437715,0.31720705,0.74646887,-3.95521268,-2.26746457,103.52971165
201,0.14556622,-0.49031278,0.23696383,0.84493278,-3.90640385,-2.27380483,103.52981763
202,-0.03761847,-0.57020961,0.16534582,0.93357002,-3.85528317,-2.27984852,103.52992412
203,-0.44365377,-0.49908865,0.11796201,1.01134321,-3.80188708,-2.28559748,103.53003112
204,0.77122070,-0.40035576,0.10657604,1.07733850,-3.74625206,-2.29114767,103.53023273
205,-0.56389853,-0.37877854,0.13759837,1.13082549,-3.68841454,-2.29640687,103.53043484
206,0.31712608,-0.39612292,0.20934074,1.17124643,-3.62841098,-2.30137691,103.53063746
207,-0.34865424,-0.33799696,0.31320756,1.19815173,-3.56627762,-2.30615543,103.53093634
208,-0.53222285,-0.14173035,0.43406996,1.21116487,-3.50204985,-2.31074466,103.53133187
209,0.80808419,0.13681229,0.55312410,1.20998605,-3.43576307,-2.31514429,103.53182187
210,-0.06921424,0.36226693,0.65167341,1.19434277,-3.36745315,-2.31964127,103.53269145
211,-0.16795154,0.49407480,0.71279520,1.16401838,-3.29715505,-2.32404902,103.53375215
212,0.12321993,0.55559885,0.72289832,1.11902024,-3.22489979,-2.32827247,103.53490706
